,Rows,"Угол нашивки, град",Плотность нашивки,"Угол нашивки, град-Плотность нашивки"
"Соотношение матрица-наполнитель-Прочность при растяжении, МПа-Шаг нашивки",,-0.072005534191947,-0.0586263032999188,-0.06531591874593345
"Соотношение матрица-наполнитель-Потребление смолы, г/м2-Шаг нашивки",,-0.08719743365412658,-0.03397310001743059,-0.060585266835779916
"Плотность, кг/м3-модуль упругости, ГПа-Количество отвердителя, м.%",,-0.004401581585247394,-0.035207810311204346,-0.019804695948226647
"Плотность, кг/м3-модуль упругости, ГПа-Содержание эпоксидных групп,%_2",,-0.0749354005167957,-0.05910459090485154,-0.06701999571082462
"Плотность, кг/м3-модуль упругости, ГПа-Температура вспышки, С_2",,-0.0718970206243601,-0.04414119536408134,-0.05801910799422172
"Плотность, кг/м3-модуль упругости, ГПа-Поверхностная плотность, г/м2",,-0.09837433111558713,-0.05092485192389451,-0.07464959151974104
"Плотность, кг/м3-модуль упругости, ГПа-Модуль упругости при растяжении, ГПа",,-0.08860811003275737,0.01191491289656288,-0.038346598568097745
"Плотность, кг/м3-модуль упругости, ГПа-Прочность при растяжении, МПа",,-0.12702191295855458,0.012534678905470886,-0.05724361702654268
"Плотность, кг/м3-модуль упругости, ГПа-Потребление смолы, г/м2",,-0.07743121257129681,-0.004284978825550567,-0.04085809569842469
"Плотность, кг/м3-модуль упругости, ГПа-Шаг нашивки",,-0.06788201862364085,-0.027522945593067005,-0.047702482108354705
"Плотность, кг/м3-Количество отвердителя, м.%-Содержание эпоксидных групп,%_2",,-0.12029407176816065,-0.09618797850920635,-0.10824102513868439
"Плотность, кг/м3-Количество отвердителя, м.%-Температура вспышки, С_2",,-0.030878892076475095,-0.09605187362269163,-0.06346538284958436
"Плотность, кг/м3-Количество отвердителя, м.%-Поверхностная плотность, г/м2",,-0.06831607289398911,-0.0782814057059209,-0.07329873929995523
"Плотность, кг/м3-Количество отвердителя, м.%-Модуль упругости при растяжении, ГПа",,-0.06820755932640199,-0.05556300541936676,-0.06188528237288493
"Плотность, кг/м3-Количество отвердителя, м.%-Прочность при растяжении, МПа",,-0.04726444078211145,-0.06001383458989129,-0.053639137686002036
"Плотность, кг/м3-Количество отвердителя, м.%-Потребление смолы, г/м2",,-0.08860811003275737,-0.05007908540202344,-0.06934359771739096
"Плотность, кг/м3-Количество отвердителя, м.%-Шаг нашивки",,-0.015361451911534152,-0.04762242398221006,-0.03149193794687255
"Плотность, кг/м3-Содержание эпоксидных групп,%_2-Температура вспышки, С_2",,-0.0747183733816219,-0.09297626574564988,-0.08384731956363656
"Плотность, кг/м3-Содержание эпоксидных групп,%_2-Поверхностная плотность, г/м2",,-0.05214755132352633,-0.07714000748840344,-0.06464377940596577
