,Rows,"Модуль упругости при растяжении, ГПа","Прочность при растяжении, МПа","Модуль упругости при растяжении, ГПа-Прочность при растяжении, МПа"
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Содержание эпоксидных групп,%_2",,-0.010045019046068138,-0.043718876801357665,-0.026881947923712346
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Температура вспышки, С_2",,-0.02489280061732546,-0.047810736124495046,-0.03635176837091081
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Поверхностная плотность, г/м2",,-0.014391373448822575,-0.04510306787464158,-0.0297472206617323
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Потребление смолы, г/м2",,-0.007093372699534806,-0.04268366234307952,-0.024888517521307163
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Шаг нашивки",,-0.01094976476879772,-0.04679389045547544,-0.02887182761213647
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Угол нашивки, град",,-0.01135206146962875,-0.04406575140349012,-0.0277089064365591
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Плотность нашивки",,-0.012395399065330048,-0.043860199910199515,-0.028127799487765337
"Соотношение матрица-наполнитель-Количество отвердителя, м.%-Содержание эпоксидных групп,%_2",,-0.02627789039061912,-0.01394823330971695,-0.020113061850167813
"Соотношение матрица-наполнитель-Количество отвердителя, м.%-Температура вспышки, С_2",,-0.049143993940432784,-0.017659787509163083,-0.033401890724798045
"Соотношение матрица-наполнитель-Количество отвердителя, м.%-Поверхностная плотность, г/м2",,-0.03278398665278104,-0.014932557582900907,-0.023858272117840973
"Соотношение матрица-наполнитель-Количество отвердителя, м.%-Потребление смолы, г/м2",,-0.023569247153451878,-0.012350995440406853,-0.0179601212969297
"Соотношение матрица-наполнитель-Количество отвердителя, м.%-Шаг нашивки",,-0.027218892144763362,-0.01849114669941665,-0.02285501942209045
"Соотношение матрица-наполнитель-Количество отвердителя, м.%-Угол нашивки, град",,-0.027675733505253763,-0.013440947435240602,-0.020558340470247183
"Соотношение матрица-наполнитель-Количество отвердителя, м.%-Плотность нашивки",,-0.028951254113356084,-0.013525534274912099,-0.021238394194134202
"Соотношение матрица-наполнитель-Содержание эпоксидных групп,%_2-Температура вспышки, С_2",,-0.02245090867257371,-0.03004564855426617,-0.02624827861341994
