,Шаг нашивки
"Содержание эпоксидных групп,%_2///Потребление смолы, г/м2///Поверхностная плотность, г/м2",-0.008285011792137809
"Содержание эпоксидных групп,%_2///Потребление смолы, г/м2///Прочность при растяжении, МПа",-0.02221635886958717
"Содержание эпоксидных групп,%_2///Потребление смолы, г/м2///Температура вспышки, С_2",-0.01323982110925348
"Содержание эпоксидных групп,%_2///Соотношение матрица-наполнитель///Модуль упругости при растяжении, ГПа",-0.008212496213633402
"Содержание эпоксидных групп,%_2///Соотношение матрица-наполнитель///модуль упругости, ГПа",-0.020720755465763796
"Содержание эпоксидных групп,%_2///Соотношение матрица-наполнитель///Плотность, кг/м3",-0.01897868778836509
"Содержание эпоксидных групп,%_2///Соотношение матрица-наполнитель///Поверхностная плотность, г/м2",-0.006728044269994404
"Содержание эпоксидных групп,%_2///Соотношение матрица-наполнитель///Прочность при растяжении, МПа",-0.020843625007825217
"Содержание эпоксидных групп,%_2///Соотношение матрица-наполнитель///Температура вспышки, С_2",-0.011579194660340741
"Содержание эпоксидных групп,%_2///Модуль упругости при растяжении, ГПа///модуль упругости, ГПа",-0.02101965148055296
"Содержание эпоксидных групп,%_2///Модуль упругости при растяжении, ГПа///Плотность, кг/м3",-0.018144885485912976
"Содержание эпоксидных групп,%_2///Модуль упругости при растяжении, ГПа///Поверхностная плотность, г/м2",-0.006059778900302959
"Содержание эпоксидных групп,%_2///Модуль упругости при растяжении, ГПа///Прочность при растяжении, МПа",-0.02044273245126549
"Содержание эпоксидных групп,%_2///Модуль упругости при растяжении, ГПа///Температура вспышки, С_2",-0.01063116465938374
"Содержание эпоксидных групп,%_2///модуль упругости, ГПа///Плотность, кг/м3",-0.03348130336977584
"Содержание эпоксидных групп,%_2///модуль упругости, ГПа///Поверхностная плотность, г/м2",-0.019674074086404536
"Содержание эпоксидных групп,%_2///модуль упругости, ГПа///Прочность при растяжении, МПа",-0.030134075966480323
"Содержание эпоксидных групп,%_2///модуль упругости, ГПа///Температура вспышки, С_2",-0.02370105623055574
"Содержание эпоксидных групп,%_2///Плотность, кг/м3///Поверхностная плотность, г/м2",-0.016584646984247664
"Содержание эпоксидных групп,%_2///Плотность, кг/м3///Прочность при растяжении, МПа",-0.0322275727123158
"Содержание эпоксидных групп,%_2///Плотность, кг/м3///Температура вспышки, С_2",-0.02089193504082898
"Содержание эпоксидных групп,%_2///Поверхностная плотность, г/м2///Прочность при растяжении, МПа",-0.019000427520332597
"Содержание эпоксидных групп,%_2///Поверхностная плотность, г/м2///Температура вспышки, С_2",-0.009551985281611053
"Содержание эпоксидных групп,%_2///Прочность при растяжении, МПа///Температура вспышки, С_2",-0.02510117527999367
"Количество отвердителя, м.%///Потребление смолы, г/м2///Соотношение матрица-наполнитель",-0.011260589198161641
"Количество отвердителя, м.%///Потребление смолы, г/м2///Модуль упругости при растяжении, ГПа",-0.010912818837061966
"Количество отвердителя, м.%///Потребление смолы, г/м2///модуль упругости, ГПа",-0.02376972125253185
"Количество отвердителя, м.%///Потребление смолы, г/м2///Плотность, кг/м3",-0.022291403697751067
"Количество отвердителя, м.%///Потребление смолы, г/м2///Поверхностная плотность, г/м2",-0.009724539367614193
"Количество отвердителя, м.%///Потребление смолы, г/м2///Прочность при растяжении, МПа",-0.023413643796103445
"Количество отвердителя, м.%///Потребление смолы, г/м2///Температура вспышки, С_2",-0.01603795507776229
"Количество отвердителя, м.%///Соотношение матрица-наполнитель///Модуль упругости при растяжении, ГПа",-0.009566491580640601
"Количество отвердителя, м.%///Соотношение матрица-наполнитель///модуль упругости, ГПа",-0.021663660546211716
"Количество отвердителя, м.%///Соотношение матрица-наполнитель///Плотность, кг/м3",-0.020863731980840683
"Количество отвердителя, м.%///Соотношение матрица-наполнитель///Поверхностная плотность, г/м2",-0.008101732114630611
"Количество отвердителя, м.%///Соотношение матрица-наполнитель///Прочность при растяжении, МПа",-0.021991161457422637
"Количество отвердителя, м.%///Соотношение матрица-наполнитель///Температура вспышки, С_2",-0.01435227844582121
"Количество отвердителя, м.%///Модуль упругости при растяжении, ГПа///модуль упругости, ГПа",-0.022281129328264093
"Количество отвердителя, м.%///Модуль упругости при растяжении, ГПа///Плотность, кг/м3",-0.020258162810910196
"Количество отвердителя, м.%///Модуль упругости при растяжении, ГПа///Поверхностная плотность, г/м2",-0.007714735799760675
"Количество отвердителя, м.%///Модуль упругости при растяжении, ГПа///Прочность при растяжении, МПа",-0.021753304451841204
"Количество отвердителя, м.%///Модуль упругости при растяжении, ГПа///Температура вспышки, С_2",-0.013642205413576969
"Количество отвердителя, м.%///модуль упругости, ГПа///Плотность, кг/м3",-0.0352714324779273
"Количество отвердителя, м.%///модуль упругости, ГПа///Поверхностная плотность, г/м2",-0.020961659597220628
"Количество отвердителя, м.%///модуль упругости, ГПа///Прочность при растяжении, МПа",-0.03127087427666919
"Количество отвердителя, м.%///модуль упругости, ГПа///Температура вспышки, С_2",-0.026173682007930577
"Количество отвердителя, м.%///Плотность, кг/м3///Поверхностная плотность, г/м2",-0.018695143435795814
"Количество отвердителя, м.%///Плотность, кг/м3///Прочность при растяжении, МПа",-0.03422313673407906
"Количество отвердителя, м.%///Плотность, кг/м3///Температура вспышки, С_2",-0.024225558562925187
"Количество отвердителя, м.%///Поверхностная плотность, г/м2///Прочность при растяжении, МПа",-0.02049241000302926
"Количество отвердителя, м.%///Поверхностная плотность, г/м2///Температура вспышки, С_2",-0.012579361992042903
"Количество отвердителя, м.%///Прочность при растяжении, МПа///Температура вспышки, С_2",-0.028143846333289035
"Потребление смолы, г/м2///Соотношение матрица-наполнитель///Модуль упругости при растяжении, ГПа",-0.00525105005441362
"Потребление смолы, г/м2///Соотношение матрица-наполнитель///модуль упругости, ГПа",-0.01732858247904301
"Потребление смолы, г/м2///Соотношение матрица-наполнитель///Плотность, кг/м3",-0.016568766456588557
"Потребление смолы, г/м2///Соотношение матрица-наполнитель///Поверхностная плотность, г/м2",-0.003989208828432345
"Потребление смолы, г/м2///Соотношение матрица-наполнитель///Прочность при растяжении, МПа",-0.01744214412414169
"Потребление смолы, г/м2///Соотношение матрица-наполнитель///Температура вспышки, С_2",-0.008958527947679595
"Потребление смолы, г/м2///Модуль упругости при растяжении, ГПа///модуль упругости, ГПа",-0.01747202094145006
"Потребление смолы, г/м2///Модуль упругости при растяжении, ГПа///Плотность, кг/м3",-0.015727291842871916
"Потребление смолы, г/м2///Модуль упругости при растяжении, ГПа///Поверхностная плотность, г/м2",-0.003298059744689663
"Потребление смолы, г/м2///Модуль упругости при растяжении, ГПа///Прочность при растяжении, МПа",-0.016971685567754635
"Потребление смолы, г/м2///Модуль упругости при растяжении, ГПа///Температура вспышки, С_2",-0.008014006224875247
"Потребление смолы, г/м2///модуль упругости, ГПа///Плотность, кг/м3",-0.030512108854691133
"Потребление смолы, г/м2///модуль упругости, ГПа///Поверхностная плотность, г/м2",-0.016380435130791016
"Потребление смолы, г/м2///модуль упругости, ГПа///Прочность при растяжении, МПа",-0.026247092616381806
"Потребление смолы, г/м2///модуль упругости, ГПа///Температура вспышки, С_2",-0.02050647263173988
"Потребление смолы, г/м2///Плотность, кг/м3///Поверхностная плотность, г/м2",-0.014414696227320833
"Потребление смолы, г/м2///Плотность, кг/м3///Прочность при растяжении, МПа",-0.029362241347696605
"Потребление смолы, г/м2///Плотность, кг/м3///Температура вспышки, С_2",-0.018804267209986847
"Потребление смолы, г/м2///Поверхностная плотность, г/м2///Прочность при растяжении, МПа",-0.01572639727307812
"Потребление смолы, г/м2///Поверхностная плотность, г/м2///Температура вспышки, С_2",-0.007162026745408667
"Потребление смолы, г/м2///Прочность при растяжении, МПа///Температура вспышки, С_2",-0.02207665165308592
"Соотношение матрица-наполнитель///Модуль упругости при растяжении, ГПа///модуль упругости, ГПа",-0.015574149154812256
"Соотношение матрица-наполнитель///Модуль упругости при растяжении, ГПа///Плотность, кг/м3",-0.01439666922328442
"Соотношение матрица-наполнитель///Модуль упругости при растяжении, ГПа///Поверхностная плотность, г/м2",-0.001839268322939569
"Соотношение матрица-наполнитель///Модуль упругости при растяжении, ГПа///Прочность при растяжении, МПа",-0.015645070051587995
"Соотношение матрица-наполнитель///Модуль упругости при растяжении, ГПа///Температура вспышки, С_2",-0.006457373346459683
"Соотношение матрица-наполнитель///модуль упругости, ГПа///Плотность, кг/м3",-0.02846870610312502
"Соотношение матрица-наполнитель///модуль упругости, ГПа///Поверхностная плотность, г/м2",-0.014227017287257615
"Соотношение матрица-наполнитель///модуль упругости, ГПа///Прочность при растяжении, МПа",-0.02431342424394667
"Соотношение матрица-наполнитель///модуль упругости, ГПа///Температура вспышки, С_2",-0.018296817094840767
"Соотношение матрица-наполнитель///Плотность, кг/м3///Поверхностная плотность, г/м2",-0.012999592037369556
"Соотношение матрица-наполнитель///Плотность, кг/м3///Прочность при растяжении, МПа",-0.02806233752013343
"Соотношение матрица-наполнитель///Плотность, кг/м3///Температура вспышки, С_2",-0.01723598818130112
"Соотношение матрица-наполнитель///Поверхностная плотность, г/м2///Прочность при растяжении, МПа",-0.014207982791716978
"Соотношение матрица-наполнитель///Поверхностная плотность, г/м2///Температура вспышки, С_2",-0.005433868212065374
"Соотношение матрица-наполнитель///Прочность при растяжении, МПа///Температура вспышки, С_2",-0.020476191090662788
"Модуль упругости при растяжении, ГПа///модуль упругости, ГПа///Плотность, кг/м3",-0.028506874185125763
"Модуль упругости при растяжении, ГПа///модуль упругости, ГПа///Поверхностная плотность, г/м2",-0.014388527832767561
"Модуль упругости при растяжении, ГПа///модуль упругости, ГПа///Прочность при растяжении, МПа",-0.024604170986527896
"Модуль упругости при растяжении, ГПа///модуль упругости, ГПа///Температура вспышки, С_2",-0.01822413054098626
"Модуль упругости при растяжении, ГПа///Плотность, кг/м3///Поверхностная плотность, г/м2",-0.01201020783670348
"Модуль упругости при растяжении, ГПа///Плотность, кг/м3///Прочность при растяжении, МПа",-0.027413488282890697
"Модуль упругости при растяжении, ГПа///Плотность, кг/м3///Температура вспышки, С_2",-0.016049910209045892
"Модуль упругости при растяжении, ГПа///Поверхностная плотность, г/м2///Прочность при растяжении, МПа",-0.013736544705914788
"Модуль упругости при растяжении, ГПа///Поверхностная плотность, г/м2///Температура вспышки, С_2",-0.004359922199355104
"Модуль упругости при растяжении, ГПа///Прочность при растяжении, МПа///Температура вспышки, С_2",-0.01956226921702342
"модуль упругости, ГПа///Плотность, кг/м3///Поверхностная плотность, г/м2",-0.02724465344293514
"модуль упругости, ГПа///Плотность, кг/м3///Прочность при растяжении, МПа",-0.03826193191944949
"модуль упругости, ГПа///Плотность, кг/м3///Температура вспышки, С_2",-0.03078052490681471
"модуль упругости, ГПа///Поверхностная плотность, г/м2///Прочность при растяжении, МПа",-0.023344103145459538
